ADM_CD,행정동명,충전소수,충전기수,지역,위도,경도
31092760,원곡동,5,19,경기,37.32565630963901,126.78869439295642
31092770,신길동,54,189,경기,37.33180647264152,126.78114566501858
31092780,백운동,14,135,경기,37.327130474619146,126.80077583832517
31101510,주교동,17,55,경기,37.66122220672627,126.82609305414218
31101511,흥도동,70,278,경기,37.6339566273374,126.86754423566747
31101512,삼송1동,15,103,경기,37.653487015382225,126.89890721299392
31101513,삼송2동,37,163,경기,37.650526043838624,126.87474906938728
31101514,행신3동,14,66,경기,37.62333917673579,126.83926074638616
31101515,행신4동,8,31,경기,37.61880204600328,126.85042583572059
31101520,원신동,48,196,경기,37.66645770999513,126.88263311210787
31101540,성사1동,24,160,경기,37.660404341700136,126.84159316128955
31101550,성사2동,16,38,경기,37.651395548503444,126.83603208679624
31101560,효자동,29,159,경기,37.653607678536666,126.92041232462687
31101580,창릉동,38,321,경기,37.64733236235902,126.89385932177602
31101590,고양동,42,132,경기,37.70642047237707,126.90152567515493
31101600,관산동,14,55,경기,37.69767569584368,126.86670372771056
31101610,능곡동,27,103,경기,37.624984556259434,126.81759128193073
31101620,화정1동,34,133,경기,37.64240309002574,126.83402647476976
31101630,화정2동,37,109,경기,37.63182630877223,126.83139084163606
31101640,행주동,9,24,경기,37.61591296248063,126.8243902320573
31101650,행신1동,25,88,경기,37.62080664922981,126.83466662416153
31101660,행신2동,32,149,경기,37.61585450229908,126.83713902986057
31101670,화전동,27,164,경기,37.60203912942682,126.89224230955001
31101680,대덕동,18,116,경기,37.584917216325536,126.86265040820535
31103510,식사동,54,256,경기,37.67829973976186,126.81187427081646
31103511,중산1동,30,119,경기,37.69001055293047,126.7809909069893
31103512,중산2동,31,74,경기,37.678622413435036,126.78219067505648
31103530,정발산동,20,47,경기,37.66688465184826,126.77265260570894
31103540,풍산동,34,196,경기,37.66760512593198,126.79787537367275
31103550,백석1동,64,213,경기,37.647512208007534,126.79119764114873
31103560,마두1동,21,64,경기,37.65672465143068,126.78940458501879
31103570,마두2동,23,90,경기,37.65271061292125,126.78191880116528
31103580,장항1동,28,111,경기,37.660781067262214,126.753357404444
31103590,장항2동,116,356,경기,37.65705792399278,126.77116896444333
31103600,고봉동,23,111,경기,37.702033061673525,126.81563241173225
31103610,백석2동,30,126,경기,37.641593594022495,126.78639229779036
31104510,일산1동,34,92,경기,37.68783958751268,126.76832661683899
31104511,탄현1동,42,180,경기,37.694592209566146,126.7652364497504
31104512,탄현2동,25,81,경기,37.70043337319736,126.76723840886234
31104513,덕이동,29,160,경기,37.696674685993436,126.7503749932265
31104514,가좌동,29,124,경기,37.69322645772628,126.71968888403089
31104520,일산2동,24,76,경기,37.68378525547826,126.77380376095371
31104530,일산3동,24,101,경기,37.67955434401819,126.7660138393188
31104550,주엽1동,44,147,경기,37.669409417329604,126.76492914642292
31104560,주엽2동,37,122,경기,37.67238785476611,126.75796905332558
31104570,대화동,56,210,경기,37.672099384731794,126.74986500801128
31104580,송포동,20,140,경기,37.66671286035593,126.73836685676262
31110510,중앙동,30,117,경기,37.42903461025229,126.98609118989575
31110521,갈현동,18,49,경기,37.40943006041616,126.98230045781776
31110522,원문동,10,30,경기,37.421931123459494,126.99210483134092
31110530,별양동,14,42,경기,37.42647986808054,126.99164230053557
